actor_id,award_name,year,award_outcome,award_description
nm0000136,"Academy Awards, USA",2008,"Nominee
Oscar","Best Performance by an Actor in a Leading Role
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,"Academy Awards, USA",2005,"Nominee
Oscar","Best Performance by an Actor in a Leading Role
Finding Neverland (2004)"
nm0000136,"Academy Awards, USA",2004,"Nominee
Oscar","Best Actor in a Leading Role
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,BAFTA Awards,2012,"Nominee
BAFTA Children's Award","Best Feature Film
Hugo (2011)

Shared with:

Martin Scorsese

Graham King

Tim Headington"
nm0000136,BAFTA Awards,2005,"Nominee
BAFTA Film Award","Best Performance by an Actor in a Leading Role
Finding Neverland (2004)"
nm0000136,BAFTA Awards,2004,"Nominee
BAFTA Film Award","Best Performance by an Actor in a Leading Role
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,20/20 Awards,2016,"Nominee
Felix","Best Actor
Dead Man (1995)"
nm0000136,20/20 Awards,2015,"Nominee
Felix","Best Actor
Ed Wood (1994)"
nm0000136,20/20 Awards,2011,"Nominee
Felix","Best Actor
Edward Scissorhands (1990)"
nm0000136,AACTA International Awards,2012,"Nominee
AACTA International Award","Best Film
Hugo (2011)

Shared with:

Graham King

Tim Headington

Martin Scorsese"
nm0000136,AARP Movies for Grownups Awards,2016,"Nominee
Movies for Grownups Award","Best Actor
Black Mass (2015)"
nm0000136,"Academy of Science Fiction, Fantasy & Horror Films, USA",2008,"Nominee
Saturn Award","Best Actor
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,"Academy of Science Fiction, Fantasy & Horror Films, USA",2005,"Nominee
Saturn Award","Best Actor
Finding Neverland (2004)"
nm0000136,"Academy of Science Fiction, Fantasy & Horror Films, USA",2004,"Nominee
Saturn Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,"Academy of Science Fiction, Fantasy & Horror Films, USA",2002,"Nominee
Saturn Award","Best Actor
From Hell (2001)"
nm0000136,"Academy of Science Fiction, Fantasy & Horror Films, USA",2000,"Nominee
Saturn Award","Best Actor
Sleepy Hollow (1999)"
nm0000136,Alliance of Women Film Journalists,2012,"Nominee
EDA Award","Best Picture
Hugo (2011)

Shared with:

Graham King

Martin Scorsese

Tim Headington"
nm0000136,Alliance of Women Film Journalists,2007,"Nominee
EDA Award","Best Actor
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,Awards Circuit Community Awards,2011,"Nominee
ACCA","Best Motion Picture
Hugo (2011)

Shared with:

Martin Scorsese

Graham King

Tim Headington"
nm0000136,Awards Circuit Community Awards,2007,"Nominee
ACCA","Best Actor in a Leading Role
Sweeney Todd: The Demon Barber of Fleet Street (2007)


Runner-Up"
nm0000136,Awards Circuit Community Awards,2003,"Winner
ACCA","Best Actor in a Leading Role
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Awards Circuit Community Awards,1994,"Nominee
ACCA","Best Actor in a Leading Role
Ed Wood (1994)"
nm0000136,Awards Circuit Community Awards,1994,"Nominee
ACCA","Best Cast Ensemble
Ed Wood (1994)

Shared with:

Martin Landau

Sarah Jessica Parker

Patricia Arquette

Jeffrey Jones

G.D. Spradlin

Vincent D'Onofrio

Bill Murray

Mike Starr

Max Casella

Lisa Marie"
nm0000136,Bahamas International Film Festival,2009,"Winner
Career Achievement Award",
nm0000136,Blockbuster Entertainment Awards,2000,"Winner
Blockbuster Entertainment Award","Favorite Actor - Horror
Sleepy Hollow (1999)"
