actor_id,movie_id,name,year,rating,genres
nm0000136,tt1287499,The Silent Call,1912,,"['Short', 'Drama']"
nm0000136,tt6149154,Warten auf die Barbaren,2019,5.9,['Drama']
nm0000136,tt4123430,Phantastische Tierwesen: Grindelwalds Verbrechen,2018,6.5,"['Adventure', 'Family', 'Fantasy']"
nm0000136,tt1273221,London Fields,2018,3.9,"['Crime', 'Mystery', 'Thriller']"
nm0000136,tt2296777,Sherlock Gnomes,2018,5.2,"['Animation', 'Adventure', 'Comedy']"
nm0000136,tt3402236,Mord im Orient-Express,2017,6.5,"['Crime', 'Drama', 'Mystery']"
nm0000136,tt1790809,Pirates of the Caribbean: Salazars Rache,2017,6.5,"['Action', 'Adventure', 'Fantasy']"
nm0000136,tt3183660,Phantastische Tierwesen und wo sie zu finden sind,2016,7.3,"['Adventure', 'Family', 'Fantasy']"
nm0000136,tt5456120,Donald Trump's The Art of the Deal: The Movie,,5.8,['Comedy']
nm0000136,tt1355683,Black Mass,2015,6.9,"['Biography', 'Crime', 'Drama']"
nm0000136,tt3045616,Mortdecai - Der Teilzeitgauner,2015,5.5,"['Action', 'Adventure', 'Comedy']"
nm0000136,tt3099498,Tusk,2014,5.3,"['Comedy', 'Drama', 'Horror']"
nm0000136,tt1885299,Lucky Them - Auf der Suche nach Matthew Smith,2013,6.1,"['Comedy', 'Drama']"
nm0000136,tt0182576,Family Guy,,8.1,"['Animation', 'Comedy']"
nm0000136,tt1232829,21 Jump Street,2012,7.2,"['Action', 'Comedy', 'Crime']"
nm0000136,tt0810913,Jack und Jill,2011,3.3,['Comedy']
nm0000136,tt1843198,Lego Pirates of the Caribbean: The Video Game,,7.7,"['Action', 'Adventure', 'Family']"
nm0000136,tt1192628,Rango,2011,7.2,"['Animation', 'Adventure', 'Comedy']"
nm0000136,tt1014759,Alice im Wunderland,2010,6.4,"['Adventure', 'Family', 'Fantasy']"
nm0000136,tt1054606,Das Kabinett des Doktor Parnassus,2009,6.8,"['Adventure', 'Comedy', 'Fantasy']"
nm0000136,tt0408236,Sweeney Todd: Der teuflische Barbier aus der Fleet Street,2007,7.3,"['Drama', 'Horror', 'Musical']"
nm0000136,tt0383574,Pirates of the Caribbean - Fluch der Karibik 2,2006,7.3,"['Action', 'Adventure', 'Fantasy']"
nm0000136,tt0121164,Corpse Bride - Hochzeit mit einer Leiche,2005,7.3,"['Animation', 'Drama', 'Family']"
nm0000136,tt0375920,"The Libertine - Sex, Drugs & Rococo",2004,6.3,"['Biography', 'Drama', 'History']"
nm0000136,tt0381270,Happy End mit Hindernissen,2004,6.5,"['Comedy', 'Drama', 'Music']"
nm0000136,tt0363988,Das geheime Fenster,2004,6.5,"['Drama', 'Mystery', 'Thriller']"
nm0000136,tt0325980,Fluch der Karibik,2003,8.0,"['Action', 'Adventure', 'Fantasy']"
nm0000136,tt0221027,Blow,2001,7.6,"['Biography', 'Crime', 'Drama']"
nm0000136,tt0241303,Chocolat... ein kleiner Biss genügt,2000,7.2,"['Drama', 'Romance']"
nm0000136,tt0206917,In stürmischen Zeiten,2000,6.2,"['Drama', 'Music', 'Romance']"
nm0000136,tt0138304,The Astronaut's Wife - Das Böse hat ein neues Gesicht,1999,5.4,"['Drama', 'Sci-Fi', 'Thriller']"
nm0000136,tt0108981,The Vicar of Dibley,,8.0,['Comedy']
nm0000136,tt0120669,Angst und Schrecken in Las Vegas,1998,7.6,"['Adventure', 'Comedy', 'Drama']"
nm0000136,tt0118768,The Brave,1997,6.3,['Drama']
nm0000136,tt8391714,Divine Rapture,1995,7.2,"['Short', 'Comedy']"
nm0000136,tt6010812,The Smokin' Mojo Filters: Come Together,,7.5,"['Short', 'Music']"
nm0000136,tt8403886,Shane MacGowand and the Popes: That Woman's Got Me Drinking,,7.6,"['Short', 'Music']"
nm0000136,tt0109707,Ed Wood,1994,7.8,"['Biography', 'Comedy', 'Drama']"
nm0000136,tt0106387,Benny und Joon,1993,7.2,"['Comedy', 'Drama', 'Romance']"
nm0000136,tt0106307,Arizona Dream,1993,7.3,"['Comedy', 'Drama', 'Fantasy']"
nm0000136,tt5292294,Tom Petty and the Heartbreakers: Into the Great Wide Open,,7.8,"['Short', 'Music']"
nm0000136,tt0092312,21 Jump Street: Tatort Klassenzimmer,,7.3,"['Crime', 'Drama', 'Mystery']"
nm0000136,tt3494988,R.P.G. II,1988,6.5,"['Short', 'Comedy']"
nm0000136,tt3494986,R.P.G.,1986,6.5,"['Short', 'Comedy']"
